,element number,,,,,,,,,model parameters used for each damage conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.572454037,0,0,0,0,0,0,0,0,206.563239,425.0093728,740.2600945,1148.994453,1569.634268,-0.019832634,0.040746422,-0.023244595,0.039790222,-0.02762363,0.0315305,-0.019605477,0.029784783,-0.033066356,-0.026484148,-0.011061421,-0.021825139,-0.009464407,-0.034099238,-0.044690744,-0.038460605,-0.042914104,-0.027237422,-0.001330142,-0.06633638,-0.021423377,-0.050909868,-0.000527421,0.044416696,-0.01465488,0.047754256,-0.021891141,-0.064493919,-0.013092494,0.042342116,-0.004478084,-0.041681925,-0.007755496,0.059933249,0.022364091,-0.016840829,0.053258906,0.00114273,0.049692078,0.002663393,-0.007248928,-0.016145165,-0.014942978,0.017734264,-0.080767659
,0,0.563252737,0,0,0,0,0,0,0,221.9106601,406.0665353,648.9114071,1217.351221,1608.456811,-0.008295084,0.047830734,-0.011567157,0.046529524,-0.016226666,0.038639494,-0.006318387,0.036566493,-0.022586932,-0.019246112,-0.011277026,-0.040935072,-0.010144986,-0.035522429,-0.017825213,-0.04963355,-0.018705462,-0.038649028,0.006850736,-0.056447347,-0.020690168,-0.04689308,0.012187585,0.05659093,-0.003279114,0.05690243,-0.008362351,-0.046101481,-0.021434884,0.046290382,-0.005973656,-0.05043554,-0.010533269,0.049799183,0.027136423,-0.041186953,0.053580425,-0.002105915,0.04569778,0.001581915,0.014228469,-0.007762507,-0.041056376,0.010344596,-0.070908212
,0,0,0.223440815,0,0,0,0,0,0,240.836038,468.1881085,732.4952961,1241.956316,1634.256089,-0.010688455,0.042884933,-0.020473426,0.041097113,-0.020800529,0.038229923,-0.014755482,0.035760999,-0.028508352,-0.020033984,-0.003294621,-0.027858119,-0.001993745,-0.036229386,-0.039092661,-0.044998088,-0.038714496,-0.033024676,-0.001131468,-0.068741691,-0.021461295,-0.048657223,-0.000955846,0.044270639,-0.014760125,0.047477664,-0.02210323,-0.047820017,-0.014373167,0.045277613,4.95E-05,-0.050507017,-0.013483863,0.056974988,0.023810758,-0.034545205,0.052547892,0.006137125,0.04870573,-4.41E-05,0.011013777,-0.010826067,-0.032677199,0.012601758,-0.074375393
,0,0,0,0.464395827,0,0,0,0,0,220.0386825,445.6842821,740.3152707,1243.892953,1576.447078,-0.009247622,0.041993576,-0.022633832,0.040868627,-0.025629061,0.034365538,-0.018227609,0.032332646,-0.031978792,-0.014502227,-0.006960705,-0.025363153,-0.005629933,-0.03633376,-0.042838943,-0.042643211,-0.041667169,-0.031041425,-0.001076613,-0.066191934,-0.021840666,-0.050794316,-0.00063059,0.044260624,-0.01526966,0.047496963,-0.022186342,-0.046458342,-0.012618131,0.045532417,-0.002375445,-0.050879436,-0.013147933,0.057165959,0.024709787,-0.035450956,0.074368103,0.001930809,0.041659796,0.001827342,-0.000403635,-0.011459595,-0.020919232,0.012952243,-0.06733887
,0,0,0,0,0.046257773,0,0,0,0,241.0056687,466.9682063,735.0988891,1234.881717,1633.76291,-0.010709608,0.042570715,-0.020543431,0.041187934,-0.020840751,0.038240122,-0.014821019,0.035768476,-0.028561445,-0.019853012,-0.002425975,-0.027877039,-0.0014993,-0.035916944,-0.039668282,-0.044979428,-0.039312492,-0.032607391,-0.001658266,-0.066219782,-0.021175287,-0.051013404,-0.001800613,0.043989143,-0.015045111,0.047319314,-0.022934524,-0.047720507,-0.011259134,0.046049855,-0.002067052,-0.050932591,-0.013312499,0.056460694,0.023321842,-0.035080081,0.053098303,0.005041206,0.04854812,0.001275194,0.011283348,-0.010709475,-0.033336774,0.0117693,-0.073755332
,0,0,0,0,0,0.45579184,0,0,0,233.8102141,439.5947299,737.7476926,1236.430345,1458.161807,-0.009760881,0.042049192,-0.020456941,0.040750298,-0.01901798,0.040842057,-0.009978253,0.038522279,-0.026307512,-0.019666506,0.001727266,-0.024344347,0.002126238,-0.036046851,-0.037395353,-0.050822212,-0.037661546,-0.034919366,-0.00200117,-0.066618628,-0.024152846,-0.051145632,-0.002217096,0.042611217,-0.014039421,0.046081752,-0.02247979,-0.050375313,-0.012181803,0.035688288,-0.002196873,-0.052327461,-0.014554863,0.064101808,0.021916737,-0.029642011,0.027015338,0.000221498,0.068089809,0.000212884,0.007851632,-0.001326296,-0.043358262,0.015445874,-0.059922828
,0,0,0,0,0,0,0.917905078,0,0,217.251141,467.6837611,579.1217441,753.4155495,1439.423448,0.008409614,-0.042842475,0.022928436,-0.041675593,0.016424645,-0.048053431,0.018359164,-0.019716307,0.022547181,-0.020960046,-0.002750224,-0.027133595,-0.001756125,-0.037946305,-0.041453595,-0.043682171,-0.032479835,-0.035456946,0.0135507,0.009296357,-0.013552652,0.006930066,0.023999534,0.033551597,-0.023379826,-0.096717974,0.036177306,0.004419909,-0.064733965,-0.028577903,-0.049806089,0.008182785,0.05838026,-0.024528575,0.02096247,-0.011056097,0.063378972,0.019971109,-0.027818262,0.006777545,0.045763119,-0.033806614,-0.052719202,0.032483672,0.003600764
,0,0,0,0,0,0,0,0.633657598,0,217.2993167,466.0686852,684.9976338,1213.377059,1378.756779,-0.008508593,0.039117092,-0.020292117,0.038060224,-0.016628504,0.04143529,-0.015582565,0.039449469,-0.034338239,0.021123991,-0.000676043,0.027851744,-0.001271334,0.038261678,0.039582485,0.044147865,0.039542165,0.030360821,-0.004833937,0.06601694,0.019126704,0.052587482,-0.008642228,-0.03793881,0.020296124,-0.042007986,0.036781948,-0.056196008,-0.020471146,0.027116837,-0.006640156,-0.058831513,-0.002100439,0.05762767,0.026595251,-0.001217471,0.019268738,0.009652113,0.056712065,0.004625879,0.007496684,-0.022874045,0.001259619,0.009320839,-0.095033643
,0,0,0,0,0,0,0,0,0.149149496,237.0988061,464.855374,734.3636816,1221.579486,1631.335479,-0.01027505,0.042106367,-0.020516713,0.040776296,-0.020009311,0.039234896,-0.01490852,0.036838025,-0.027510998,-0.020377384,-0.001422112,-0.027407175,-0.000614948,-0.036919953,-0.039300678,-0.044006796,-0.039049855,-0.034045211,-0.000619365,-0.066314244,-0.022917718,-0.051086732,-7.22E-05,0.043346316,-0.017678674,0.04651785,-0.020500223,-0.045877578,-0.013623558,0.044686537,-0.003303853,-0.049800705,-0.010688134,0.058476634,0.024842522,-0.039308345,0.054462252,0.004726887,0.046979654,0.001157665,0.012259327,-0.009781033,-0.032710953,0.011163488,-0.07471941
,0.139466087,0,0,0,0,0,0,0,0,236.2804268,460.1724168,740.3096037,1226.562497,1619.21976,-0.01213141,0.042339463,-0.021009714,0.041020693,-0.021960614,0.037282413,-0.01561504,0.034916633,-0.0293503,-0.021448972,-0.004330421,-0.026842361,-0.003226941,-0.036046715,-0.040145006,-0.043903442,-0.039498319,-0.03212805,-0.001018172,-0.066237758,-0.021716299,-0.050830407,-0.000604164,0.044308021,-0.01508887,0.047575826,-0.022103963,-0.051885062,-0.012674928,0.044506556,-0.002773905,-0.049119613,-0.012043561,0.057739332,0.024071535,-0.031329578,0.053836808,0.003863417,0.048775704,0.001747279,0.00695932,-0.012277607,-0.028873759,0.013606621,-0.075943204
,0,0.413747096,0,0,0,0,0,0,0,230.6768073,430.149053,672.8066797,1224.305647,1615.103737,-0.009365465,0.045688378,-0.015535308,0.044338204,-0.018277357,0.038690579,-0.010024054,0.036430992,-0.02526721,-0.019579498,-0.009818482,-0.03661217,-0.008562943,-0.03584748,-0.026017725,-0.048505193,-0.026399328,-0.036785046,0.00455397,-0.059922166,-0.022169341,-0.048800258,0.008315052,0.053183102,-0.007621147,0.054166653,-0.012661267,-0.046620399,-0.019099549,0.046154527,-0.004976689,-0.050518097,-0.0112454,0.051708415,0.026471129,-0.039693787,0.053389552,-0.000413701,0.046566598,0.001571455,0.013409399,-0.008597709,-0.03896935,0.010854965,-0.071813892
,0,0,0.716512138,0,0,0,0,0,0,239.2855466,467.6804385,665.4269272,1190.773915,1346.960112,-0.010523043,0.045693609,-0.020145563,0.040628422,-0.020485913,0.037681851,-0.01450211,0.035236029,-0.028062053,0.020176415,0.00618843,0.028279383,0.001746009,0.036491404,0.038001754,0.045217732,0.037619863,0.033588991,-0.002189972,-0.085712472,-0.018368924,-0.030438501,-0.003042234,0.043446606,-0.010941888,0.046012633,-0.020782022,-0.036911197,-0.043724692,0.040347915,0.045217152,-0.041957304,-0.019950065,0.049180076,0.005554526,-0.018969851,0.030705352,-0.052794556,-0.023921512,0.06847852,0.027521704,-0.002379087,-0.03001566,-0.031135467,0.033783053
,0,0,0,0.722022493,0,0,0,0,0,188.8797563,424.3809517,740.3098158,1243.46175,1491.524423,-0.007002564,0.040893174,-0.024738389,0.040096468,-0.031010532,0.029498931,-0.021834451,0.028041553,-0.035564171,-0.009222137,-0.011454002,-0.022356433,-0.009802668,-0.035419476,-0.046453891,-0.039658267,-0.044546842,-0.028182043,-0.001201402,-0.066169872,-0.021895684,-0.050777327,-0.000639092,0.044239178,-0.015347785,0.047460673,-0.022218686,-0.043909886,-0.012776418,0.046076144,-0.002417249,-0.051441145,-0.013264188,0.057543489,0.024999294,-0.036061512,0.093230873,-0.000993511,0.03243024,0.001550339,-0.01157538,-0.010265144,-0.007684934,0.012407514,-0.054302068
,0,0,0,0,0.545377924,0,0,0,0,240.4395887,431.9139439,645.4037418,1122.885065,1625.997351,0.010735234,-0.043492251,0.021336506,-0.042096629,0.020889967,-0.036749126,0.015733851,-0.034278501,0.028525647,-0.015061488,0.010821392,-0.028848963,0.010560991,-0.027545213,-0.049656477,-0.043843244,-0.049728637,-0.022824429,0.013268064,0.062857719,0.014771986,0.051401308,0.021916024,-0.033907265,0.017645847,-0.037584575,0.035947788,-0.043919882,0.006650447,0.053971777,0.00456923,-0.054155918,-0.018977386,0.050492065,0.00620991,-0.032137323,0.055669677,0.009174282,0.047239279,0.000299856,0.013163884,-0.007924109,-0.038524261,0.005974755,-0.069498198
,0,0,0,0,0,0.794589655,0,0,0,208.187143,383.1631429,732.9218352,1164.988124,1287.714434,-0.006802937,0.039398247,-0.020171161,0.03840241,-0.01330714,0.047199688,0.004837909,0.045425066,-0.01897731,-0.01937358,0.012860912,-0.019641483,0.01227501,-0.036325225,-0.029103361,-0.059961513,-0.030613309,-0.039491235,0.003967934,0.067059953,0.028464727,0.051531308,0.005215316,-0.03922326,0.011946176,-0.043080189,0.023040167,-0.045464823,-0.005542319,-0.02418605,-6.05E-05,-0.046260103,-0.020924656,0.081093723,-0.000593512,0.003799362,0.021641772,0.010073171,-0.078554832,0.002134726,0.027992006,0.003982022,-0.006281852,-0.029253756,0.054043014
,0,0,0,0,0,0,0.798621289,0,0,232.5677692,468.1171462,727.1047144,849.9530152,1475.404116,0.009883628,-0.042826721,0.021494888,-0.041515693,0.019259218,-0.042092055,0.016177412,-0.029942557,0.026412952,0.020233366,0.002949517,0.027674673,0.001962031,0.036598843,0.039711494,0.044706082,0.037441217,0.033526749,-0.00589452,-0.061311354,-0.013394704,-0.046954233,-0.008944245,0.02648573,-0.004924889,0.069253342,-0.030795667,-0.018838225,0.022551908,0.033804883,0.018278982,-0.029526607,-0.062397748,0.038778063,0.057322702,-0.025817661,0.064592178,0.019493067,-0.019645416,0.006962271,0.04202464,-0.039102671,-0.049887908,0.039605029,-0.006902313
,0,0,0,0,0,0,0,0.48596494,0,227.3393439,466.9944404,707.0743784,1229.823095,1450.709566,-0.009406853,0.040533706,-0.020395262,0.039346345,-0.01835181,0.04021519,-0.015258662,0.03802937,-0.031997489,0.02066117,0.00089018,0.027843847,0.000129469,0.037398133,0.039442086,0.044514673,0.039258051,0.031477953,-0.002745819,0.066219634,0.020196762,0.051996107,-0.005220824,-0.040789003,0.018391806,-0.044542361,0.031328567,-0.053106982,-0.0165618,0.036790688,-0.004413311,-0.055549387,-0.007921717,0.058409507,0.025765677,-0.018421904,0.033138012,0.009538132,0.05203413,0.003530422,0.014367295,-0.018742981,-0.013188236,0.008684952,-0.091084286
,0,0,0,0,0,0,0,0,0.912770631,132.1900772,412.8937724,658.8955757,1035.50046,1609.532862,-0.002585567,0.032048025,-0.020640315,0.031701769,-0.00510747,0.052382805,-0.018675715,0.051650154,-0.007452179,-0.024317681,0.02161944,-0.022477416,0.020265185,-0.045142495,-0.032911965,-0.029747217,-0.034627829,-0.048508785,0.000427679,-0.063536069,-0.034223331,-0.051152505,0.001831584,0.024447991,-0.045643787,0.027373109,-0.004324292,-0.03008433,-0.028594958,0.033485889,-0.015627513,-0.039935307,0.014934937,0.063069686,0.034498162,-0.062836301,0.064470135,0.005175855,0.034400283,-0.000268704,0.020295794,-0.001492899,-0.031949774,0.003253121,-0.076543813
,0.497466941,0,0,0,0,0,0,0,0,214.5029126,432.4297615,740.2707317,1165.3031,1578.170903,-0.017972843,0.041210282,-0.022774658,0.040163786,-0.026319726,0.032956073,-0.018719291,0.031053609,-0.032253309,-0.025612943,-0.00950131,-0.023006279,-0.008004908,-0.034710071,-0.043679791,-0.039735898,-0.042135183,-0.028461076,-0.00126313,-0.066315444,-0.021486394,-0.050892989,-0.00054392,0.044393511,-0.014748181,0.047716099,-0.021936956,-0.062395277,-0.013030647,0.042678893,-0.004141034,-0.043362012,-0.008619778,0.059597233,0.022671635,-0.019633997,0.053795516,0.001628986,0.049489244,0.002540348,-0.00474078,-0.015526048,-0.01745157,0.017036798,-0.08008074
,0,0.31333292,0,0,0,0,0,0,0,234.3916235,442.6116177,689.4364613,1229.058804,1619.683986,-0.009839422,0.044638028,-0.017291639,0.043272716,-0.019182773,0.038612373,-0.011689362,0.036275057,-0.026439039,-0.019754615,-0.008200801,-0.034021236,-0.006960905,-0.036019614,-0.030299964,-0.047623595,-0.030427043,-0.035695635,0.003079467,-0.061856903,-0.022612223,-0.049669713,0.005868094,0.050843251,-0.010061007,0.052335004,-0.015304064,-0.046963306,-0.017509801,0.046001049,-0.004317297,-0.050550092,-0.011711253,0.052989982,0.026011177,-0.038634184,0.053258758,0.000766959,0.047118207,0.001547138,0.012853936,-0.009167099,-0.037525725,0.01120285,-0.072403048
,0,0,0.746320351,0,0,0,0,0,0,238.9858928,467.5577264,652.7501637,1171.22392,1322.736352,-0.010490515,0.046230123,-0.02008117,0.040534926,-0.020423987,0.037573677,-0.01445249,0.035132516,-0.027974318,0.020208279,0.006885283,0.028377398,0.001685386,0.036550122,0.037733957,0.045265006,0.037351267,0.033720873,-0.002282169,-0.088005291,-0.01773939,-0.027198394,-0.003265591,0.043243255,-0.010189826,0.045654598,-0.020382457,-0.032061082,-0.047997384,0.037290863,0.055416033,-0.037443698,-0.021196442,0.044746158,-0.000233009,-0.013615423,0.035779388,-0.044089013,-0.028746153,0.06214075,0.033360535,-0.000323491,-0.036506454,-0.032601788,0.036255295
,0,0,0,0.445259137,0,0,0,0,0,221.4577501,446.9445015,740.3155873,1243.911187,1580.571523,-0.009349899,0.042038008,-0.022511199,0.04089652,-0.025337893,0.034615241,-0.018024096,0.032553795,-0.031776875,-0.014812799,-0.006718569,-0.025518136,-0.005407056,-0.03635291,-0.042629059,-0.042793409,-0.041501397,-0.031176154,-0.001069372,-0.066193209,-0.021837471,-0.050795298,-0.000630097,0.044261865,-0.015265125,0.047499065,-0.022184464,-0.046565673,-0.012611281,0.045508828,-0.002373653,-0.050855026,-0.013142837,0.057149298,0.024697226,-0.035424623,0.073106852,0.002105783,0.042156079,0.001816862,0.000315549,-0.01147119,-0.021702726,0.012943424,-0.067922681
,0,0,0,0,0.375069156,0,0,0,0,240.7492818,451.1524513,683.9985723,1162.680067,1628.626013,0.010722233,-0.042992078,0.020904825,-0.041603338,0.020865018,-0.037566942,0.015236376,-0.035095543,0.028547739,-0.017710652,0.004205338,-0.028479803,0.004498266,-0.03220501,-0.044836528,-0.04473056,-0.044715612,-0.028114235,0.008370124,0.065180291,0.016489394,0.052035672,0.013232368,-0.03961319,0.015235613,-0.043348065,0.030394843,-0.045454976,-0.000339137,0.051708919,0.001475454,-0.053460014,-0.016341046,0.052751269,0.01287087,-0.033849451,0.054834366,0.007787023,0.047746699,0.000618453,0.012523228,-0.008863805,-0.03679441,0.007938377,-0.071012952
,0,0,0,0,0,0.104498834,0,0,0,240.0322726,463.7414003,739.9037021,1243.316737,1605.201476,-0.01057573,0.042478874,-0.02050676,0.041107854,-0.020583814,0.038669298,-0.014110082,0.036218224,-0.028249382,-0.019955179,-0.002280211,-0.027230649,-0.001392454,-0.036166118,-0.039000811,-0.045929831,-0.038725342,-0.033258489,-0.001117579,-0.066287984,-0.022170065,-0.050871879,-0.000879771,0.044018628,-0.015000806,0.047306417,-0.022206879,-0.048301877,-0.012494134,0.044175458,-0.002335699,-0.050767171,-0.013243621,0.057767349,0.024262712,-0.034491037,0.048219764,0.004002113,0.052609494,0.001180937,0.011241864,-0.008949662,-0.036348117,0.012286009,-0.071409947
,0,0,0,0,0,0,0.637146412,0,0,237.2980361,468.1907507,737.3488465,1036.673683,1538.926976,-0.010345346,0.042691226,-0.020962863,0.041339398,-0.020143949,0.04001215,-0.015415289,0.033219494,-0.027617482,0.020104315,0.002982142,0.027759727,0.001996107,0.03635983,0.039404097,0.044868861,0.038276188,0.033189317,0.002151931,0.065616048,0.019941168,0.050327035,0.002629637,-0.040402038,0.012844849,-0.053088089,0.024408577,-0.028844129,0.001739538,0.037871485,0.004502965,-0.038686728,-0.045700935,0.045460124,0.058302544,-0.03555212,0.065933692,0.016816896,0.000441338,0.006489448,0.033572645,-0.041809595,-0.044828831,0.044602577,-0.030452412
,0,0,0,0,0,0,0,0.362442927,0,232.5768493,467.472878,719.4236739,1236.287681,1507.124724,-0.009894679,0.041291207,-0.02044382,0.040031597,-0.019285254,0.039517238,-0.015081902,0.037223723,-0.030715983,-0.020416883,-0.001701762,-0.027835108,-0.000855053,-0.036942811,-0.039356402,-0.044695899,-0.039097942,-0.032052174,0.001447826,-0.066268258,-0.02079567,-0.051602055,0.003139134,0.042200743,-0.017253628,0.045770641,-0.028049472,-0.051099133,-0.014802601,0.040647368,-0.003488571,-0.053548997,-0.010268587,0.058028848,0.025276398,-0.025829818,0.040350767,0.008399456,0.050059695,0.002652048,0.015361471,-0.015952804,-0.020675725,0.009428004,-0.086617678
,0,0,0,0,0,0,0,0,0.808553598,175.007822,427.0800505,676.70973,1067.416586,1613.118396,0.004894108,-0.035531855,0.02058037,-0.034881031,0.009621601,-0.049108,0.017204678,-0.047803888,0.013770941,0.02357032,-0.015648153,0.023530234,-0.014774498,0.04349842,0.036128591,0.033395988,0.037322146,0.0451092,0.000736025,-0.064918303,-0.032106189,-0.051767445,0.00232093,0.030046006,-0.039810548,0.032933876,-0.007113425,-0.032763334,-0.025073755,0.036398282,-0.012750977,-0.042253677,0.009693684,0.063756468,0.031792888,-0.060345513,0.062991951,0.005111125,0.036570965,-4.36E-05,0.018983205,-0.002843568,-0.032054873,0.004535907,-0.076532102
,0.530511628,0,0,0,0,0,0,0,0,211.2319951,429.2367836,740.2661793,1158.277545,1574.393805,-0.018755743,0.041020935,-0.022977906,0.04001225,-0.026873608,0.032358458,-0.019098451,0.030521453,-0.032602114,-0.026002337,-0.010162919,-0.022507108,-0.008622948,-0.03446214,-0.044112077,-0.039196858,-0.042467137,-0.027948633,-0.00129181,-0.066324421,-0.02145943,-0.050900226,-0.000536859,0.044403444,-0.014708255,0.047732441,-0.021917354,-0.063332048,-0.01305854,0.042526166,-0.004287528,-0.042643791,-0.00824508,0.059747192,0.022535453,-0.018415692,0.053581412,0.001414739,0.0495771,0.002596638,-0.005848225,-0.015802671,-0.016347035,0.017346278,-0.080393208
,0,0.018531262,0,0,0,0,0,0,0,240.7581256,467.1302313,737.4370071,1243.255404,1633.593109,-0.010672827,0.042626326,-0.020380948,0.041244465,-0.020770768,0.038313627,-0.014658055,0.035847271,-0.02847596,-0.020012298,-0.003280635,-0.028109349,-0.00227741,-0.036202379,-0.03881543,-0.045116145,-0.038458683,-0.033102347,-0.000733001,-0.0660127,-0.021901763,-0.050792363,-0.000285319,0.044626995,-0.014976676,0.047770208,-0.021800891,-0.047933498,-0.012812832,0.045251866,-0.002461156,-0.050531459,-0.012997553,0.05669402,0.024616557,-0.035290157,0.052868111,0.004414426,0.048559876,0.001386047,0.011213397,-0.010862725,-0.03312592,0.012241151,-0.074022178
,0,0,0.601055196,0,0,0,0,0,0,240.0064686,467.9398236,696.8232809,1224.897635,1477.250748,-0.010600571,0.044394352,-0.020299143,0.040849538,-0.020633435,0.037939161,-0.014620643,0.035482383,-0.028271201,0.020105773,0.004711853,0.028067296,0.001873224,0.036361365,0.03856265,0.04511035,0.038182578,0.033304397,-0.00181245,-0.078811746,-0.019875395,-0.038813887,-0.002246523,0.04394092,-0.012758118,0.046853721,-0.021581218,-0.045296294,-0.027374425,0.044852193,0.017922303,-0.049049458,-0.01631243,0.055938755,0.01772638,-0.029724334,0.014907344,-0.07198261,-0.01285343,0.075971971,0.010818112,-0.005633255,-0.011726543,-0.023300586,0.026612431
